kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,tce_period,tce_prad,tce_model_snr
6191521.01,CONFIRMED,0.0,1.584,78.77,13.26,0.40299999999999997,0.034069999999999996,129.3,1.347,80.8722,7.472,128.5
6267425.01,FALSE POSITIVE,0.0,14.0,-72.21,174.7,0.0,0.02562,126.3,0.9679,3.16646,8.985,130.6
3531558.01,CONFIRMED,0.0,2.835,29.71,4.831,0.001,0.04865,48.45,2.571,24.9933,2.448,50.07
6276477.01,CONFIRMED,0.0,2.8819999999999997,28.0,6.6739999999999995,0.006999999999999999,0.05065,43.48,2.0180000000000002,10.3553,2.975,46.95
6863998.01,CONFIRMED,0.0,2.2569999999999997,28.77,5.136,0.348,0.0359,56.87,2.287,16.0852,3.772,61.03
6867155.01,CANDIDATE,0.0,3.847,65.64,22.11,0.0,0.009964,311.3,4.734,235.99900000000002,10.67,276.9
6948054.01,CONFIRMED,0.9537021226218316,3.1510000000000002,14.91,5.8,0.139,0.08375,43.15,1.855,7.4901800000000005,2.802,47.28
6948054.02,CONFIRMED,0.949967907031745,2.339,6.242999999999999,1.067,0.091,0.1403,28.59,2.375,36.2753,3.9219999999999997,32.46
6948054.03,CONFIRMED,0.9545969889202168,3.4010000000000002,10.51,4.129,0.001,0.1403,19.36,1.379,3.2198,1.751,21.1
6948054.04,CONFIRMED,0.9579389640386875,2.612,3.967,2.9960000000000004,0.9470000000000001,0.2697,16.76,2.173,17.4609,2.591,18.56
6435936.01,CONFIRMED,0.0,1.9280000000000002,11.92,4.314,0.048,0.2085,19.25,1.889,56.0563,2.218,23.69
6522242.01,CONFIRMED,0.0,2.895,439.2,75.54,0.0,0.004239,904.6,2.459,41.4083,11.45,857.4
6526710.01,CANDIDATE,0.0,2.7319999999999998,279.4,65.65,0.0,0.0076370000000000006,505.2,1.745,39.7489,14.32,517.3
6587280.01,CONFIRMED,0.9547452338391186,1.405,28.65,5.729,0.309,0.042589999999999996,48.61,1.147,5.7154300000000005,2.905,54.24
6587280.02,CONFIRMED,0.9515279320153535,3.2910000000000004,7.462000000000001,0.5502,0.175,0.3809,9.322000000000001,0.3706,20.0262,2.0340000000000003,11.41
9471974.01,CONFIRMED,0.9660917830792854,1.311,93.52,7.473,0.0,0.01715,250.0,1.1059999999999999,49.1839,8.771,246.5
9471974.02,CONFIRMED,0.9354143466934809,2.792,27.89,4.035,0.0,0.03848,95.55,2.78,190.32299999999998,7.63,95.42
6599919.01,FALSE POSITIVE,0.0,1.128,83.89,29.89,0.015,0.014459999999999999,209.1,0.4249,13.6102,10.89,201.0
6675056.01,FALSE POSITIVE,0.0,1.985,-102.4,188.0,0.0,0.04457,48.84,0.7816,10.4433,4.99,52.16
6685526.01,CONFIRMED,0.0,2.9019999999999997,20.49,5.36,0.022000000000000002,0.09465,28.27,1.48,2.23749,1.734,31.42
6756669.01,FALSE POSITIVE,0.0,24.87,812.1,182.5,0.002,0.002131,1763.0,3.2239999999999998,5.85152,14.77,1662.0
6784235.01,CONFIRMED,0.0,3.063,36.8,7.977,0.6829999999999999,0.049280000000000004,55.67,1.5330000000000001,3.16788,3.068,62.04
6849310.01,CONFIRMED,0.9540151610620136,2.51,44.54,8.734,0.0,0.05118,68.73,1.5190000000000001,4.31177,3.318,77.69
6849310.02,CONFIRMED,0.9515279320153641,1.9269999999999998,15.91,4.301,0.0,0.1407,29.43,1.8719999999999999,20.0505,3.092,31.16
6849310.03,CONFIRMED,0.9531509492342258,1.62,11.34,6.735,0.073,0.14800000000000002,17.34,1.1159999999999999,9.76737,3.3310000000000004,20.85
6862328.01,CANDIDATE,0.0,2.416,79.49,19.26,0.0,0.022019999999999998,166.0,2.01,119.021,9.097999999999999,166.3
6862603.01,FALSE POSITIVE,0.0,10.08,19.83,38.74,0.0,0.06113,47.64,2.197,2.86115,3.568,54.34
7366258.01,CONFIRMED,0.9468641529479918,2.767,68.07,15.81,0.001,0.03622,112.1,2.65,51.5405,5.474,111.6
7366258.02,CONFIRMED,0.9543135154205218,2.932,39.91,8.703,0.0,0.0499,67.98,2.464,26.4444,4.87,68.55
7366258.03,CONFIRMED,0.9532733913889656,2.471,28.34,5.6129999999999995,0.0,0.06009,43.15,2.016,5.90224,2.813,47.88
7366258.04,CONFIRMED,0.9549130716244218,2.925,16.19,4.1530000000000005,0.002,0.1105,23.52,0.8681,2.38295,1.6840000000000002,26.25
7373451.01,CONFIRMED,0.9561828874675268,2.164,30.19,5.966,0.013000000000000001,0.06616,47.64,1.8969999999999998,21.0225,3.373,53.21
7373451.02,CONFIRMED,0.9999999999999971,2.6260000000000003,18.47,6.83,0.631,0.1242,32.14,2.823,226.892,4.412,35.64
6949607.01,CONFIRMED,0.9532733913889662,3.605,23.78,10.62,,0.03758,55.49,3.4810000000000003,5.91225,2.08,60.08
6949607.02,CONFIRMED,0.9534625892455533,2.716,16.66,10.25,,0.05437,42.23,2.877,8.98581,2.021,45.27
7031517.01,FALSE POSITIVE,0.0,3.135,575.3,129.7,0.0,0.002538,1375.0,0.1927,12.9407,23.39,1225.0
11869052.01,CANDIDATE,0.0,2.3409999999999997,12.29,2.909,0.0,0.03367,93.57,0.8575,20.546,2.044,21.14
